Skill,Ap,Element,Description,Mirages
"1,000 Meedles",3,Neutral,RANDOM: Inflict a fixed amount of neutral physical damage. Hits multiple times.,Cactrot
"1,000 Needles",4,Neutral,SINGLE: Inflict a fixed amount of neutral physical damage.,"Cactuar, Master Cactuar"
Absorb-MAG,5,,SINGLE: Inflict magic down / magic defense down. SELF: Gain magic up / magic defense up.,Vampire
Absorb-PHY,5,,SINGLE: Inflict strength down / defense down. SELF: Gain strength up / defense up.,Demivampire
Abyss,5,Dark,Inflict magical dark damage.,"Kyubi, Gleed, Shivverina, Voultr"
Accuracy+,,,PASSIVE: Slightly raises accuracy.,"Various Mirage, Mirajewel"
Accuracy++,,,PASSIVE: Raises accuracy.,"Various Mirage, Mirajewel"
Accuracy+++,,,PASSIVE: Greatly raises accuracy.,
Accursed Gaze,4,Neutral,SINGLE: Inflict neutral magical damage / slow.,Buer
Acid Fang,4,Neutral,SINGLE: Inflict neutral physical damage / defens down. TOPPLE STRENGTH: Medium,Trihyde
Acid Mist,4,Water,ALL: Inflict magical water damage / defense down.,Tiamat
Adrenaline,,,PASSIVE: Lessens the damage taken while HP is low.,"Behemoth, Kuza Beast"
Aero,3,Wind,SINGLE: Inflict magical wind damage.,"Serafie, Golem Head, Kuza Kit, Cocadrille, Flan, Mist Dragon, Wind Toad, Nightmare, Magna Roader (Yellow)"
Aerora,5,Wind,SINGLE: Inflict magical wind damage.,"Diva Serafie, Golem Head, Ahriman, Wind Toad, Magna Roader (Yellow), Einhänder"
Aeroga,7,Wind,ALL: Inflict magical wind damage.,Mirajewel
Agility+,,,PASSIVE: Slightly raises agility.,"Various Mirage, Mirajewel"
Agility++,,,PASSIVE: Raises agility.,"Various Mirage, Mirajewel"
Agility+++,,,PASSIVE: Greatly raises agility.,Mirajewel
Ailment AP Boost,,,"PASSIVE: While afflicted by status ailments, raises the amount of AP restored each turn.",Floating Eye
Ailment Regen,,,PASSIVE: Bestow regen while afflicted by a status ailment.,"Nut Eater, Holy Dragon"
All Resistances+,,,PASSIVE: Raises all element resistances (+5). ,Mirajewel
Ambush,,,PASSIVE: Ensures the initial action of a preemptive strike will result in a critical.,"Mega Nightsqual, Minotaur"
Anaphylaxis,,,PASSIVE: Raises critical chance when attacking a poisoned target.,Manticore
Anti-Magic Coating,,,PASSIVE: Lessens magical damage taken.,Magitek Armor A
Antibodies,,,PASSIVE: Gradually raises resistance to all status ailments each time on is incurred.,Sea Serpent
Aqua Spikes,,,PASSIVE: Allows one to sometimes counter with water when hit.,"Leviathan, Leviathan*"
Arcane Counterstance,3,,SELF: Enter counterstance and retaliate against magical attacks.,Mimic
Arenaceous Body,,,PASSIVE: Gives a chance of nullifying damage.,Sandicore
Arise,7,,ALL: Revive KO'd allies and restore a moderate amount of HP.,Mirajewel
Armor Piercer,6,Neutral,SINGLE: Inflict neutral physical damage / defense down. Bypasses defense. TOPPLE STRENGTH: Medium,"Mimic, Mimic Jackpot"
Assault,,,PASSIVE: Raises all damage dealt during the first two turns of combat.,"Cerberus, Black Nakk, Sharqual, Death Machine"
Atomic Impact,15,Dark,ALL: Inflict physical dark damage. TOOPLE STRENGTH: High,Omega God
Auspicious Theme,5,,ALL: Bestow accuracy up / evasion up.,Lucky Toad
Auto-Hi-Potion,,,PASSIVE: Automatically expands a hi-potion if an attack lowers HP below a certain amount.,Glow Moogle
Auto-Phoenix,,,PASSIVE: Automatically expends phoenix down when an ally is KO'd.,"Diva Serafie, Princess Goblin, Princess Goblin*"
Auto-Potion,,,PASSIVE: Automatically expends a potion if an attack lowers HP below a certain amount.,"Goblin, Kupicaroon"
Auto-Protect,,,PASSIVE: Continually bestows protect.,Adamantoise
Auto-Shell,,,PASSIVE: Continually bestows shell.,"Chrome Giant, Adamantoise"
Bad Breath,8,,SINGLE: Inflict poison / blindness / oblivion / slow / confusion.,Malboro
Balance,4,,SINGLE: Restore stability.,"Sylph, Serafie, Mini Golem, Magic Pot, Magic Jar, Mini Flan, Flammantoise, Lucky Toad, Searcher"
Balancega,8,,ALL: Restore stability.,"Siren, Diva Serafie, Glow Moogle"
Banish,3,Light,SINGLE: Inflict magical light damage.,"White Chocobo, Baby Paleberry, Unicorn, Squidraken, Odin*, Master Moogle"
Banishra,5,Light,SINGLE: Inflict magical light damage.,"Paleberry, Cenchos, Master Moogle"
Bask,4,,SELF: Recover HP and gain regen.,"Minimantoise, Flammantoise"
Battery Powered,,,"PASSIVE: Reduces all AP costs by 1. AP fully recharges for each battle, but less recovers each turn.","Death Machine, War Machine"
Berserk,2,,"SINGLE: Force a target to use the "Attack" command, but for greater damage.""INGLE: Force a target to use the "Attack""NGLE: ","Mecha Chocobo, Vampire Prime, Mecha Chocobo*"
Bewitching Gaze,6,Neutral,SINGLE: Inflict neutral magical damage / doom.,Ahriman
Bewitching Whisper,4,,RANDOM: Inflict confusion. Hits multiple times.,"Imp, Garchimacera"
Bile,3,Water,SINGLE: Inflict magical water damage / defense down.,"Water Golem, Flan"
Bio,3,Neutral,SINGLE: Inflict neutral magical damage / poison.,"Chrome Giant, Mordskull, Garchimacera, Mindflayer, Magna Roader (Purple)"
Blades,6,Neutral,SINGLE: Inflict neutral magical damage. TOPPLE STRENGTH: Low,Einhänder
Blaze,5,Fire,ALL: Inflict magical fire damage.,"Tamamohimé, Kyubi, Fritt, Cerberus, Elefenrir, Nirvalefor, Phoenix, Ifrit*, Ifreeta*"
Blaze Spikes,,,PASSIVE: Allows one to sometimes counter with fire when hit.,"Blood Eye, Ifrit, Gleefrit, Ghidra, Flammantoise, Red Dragon, Ifrit*"
Blizzaga,7,Ice,ALL: Inflict magical ice damage.,"Shivalry, Quacho Queen, Shivalry*, Quacho Queen*"
Blizzara,5,Ice,SINGLE: Inflict magical ice damage.,"Mishiva, Shivverina, Paleberry King, Demivampire, Flan Princess, Shiva*, Shivalry*"
Blizzard,3,Ice,SINGLE: Inflict magical ice damage.,"Bablizz, Brrblizz, Quachacho, Baby Paleberry, Ice Bat, Mist Dragon, Security Eye"
Bloodfang,4,Neutral,SINGLE: Absorb HP and inflict poison. TOPPLE STRENGTH: Low,Vampire
Blossom Storm,10,Neutral,RANDOM: Inflict neutral magical damage. Hits 9 times.,"Tamamohimé, Kyubi"
Body Slam,4,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: High,"Mecha Chocobo, Lead Gnome, Mini Golem, Sand Worm, Death Machine, War Machine, Magitek Armor P, Iron Muscles, Entom Guard, Mecha Chocobo*"
Bold Maneuver,6,Neutral,ALL: Inflict neutral magical damage.,Omega God
Bravery,4,,SINGLE: Raise physical damage.,"Skull Eater, Right Claw, Tonberry, Red Bonnetberry, Spark Dragon, Sphinx, Security Eye, Imp, Diabolos*, Master Tonberry"
Breach Blast,8,Water,ALL: Inflict magical water damage.,Bismarck
Breather,1,,SELF: Recover HP and remove all status down effects.,Hyperion
Bulldozer,7,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: High,"Minotaur, Asterius"
Bypass Reflect,,,PASSIVE: Allows one to bypass reflect when casting magic.,"Carbuncle, Einhänder"
Cat Claw,4,Neutral,SINGLE: Inflict neutral physical damage / sleep. TOPPLE STRENGTH: Medium,Right Claw
Celestriad,,,PASSIVE: Allows abilities to sometimes be used without expending AP.,Flan Princess
Chaos Beak,4,Neutral,SINGLE: Inflict neutral physical damage / confusion / death. TOPPLE STRENGTH: Medium,Cocadrille
Chaos Wave,9,Neutral,ALL: Inflict neutral magical damage.,Maduin
Charge,0,,SELF: Recover AP.,"Mecha Chocobo, Behemoth, Kuza Beast, Magitek Armor, Magitek Armor A, Mecha Chocobo*"
Chill,,,SUPPORT: Cool hot areas or freeze water.,"Bablizz, Brrblizz, Quachacho, Mindflayer, Squidraken"
Choco MAX,10,Neutral,ALL: Inflict neutral physical damage. TOPPLE STRENGTH: Medium,"Mecha Chocobo, Mecha Chocobo*"
Chocobo Kick,4,Neutral,SINGLE: Inflict neutral physical damage. Hits multiple times. TOPPLE STRENGTH: Medium,"Chocobo, Hyperion, White Chocobo"
Circumvent,6,,ALL: Remove positive status effects.,Ahriman
Cluster,3,Neutral,RRANDOM: INflict neutral magical damage. Hits multiple times. Also harms the wielder. Scales to HP,Bombino
Confuse,3,,SINGLE: Inflict confusion.,Serafie
Constrict,5,Neutral,SINGLE: Inflict neutral physical damage. Scales to HP. TOPPLE STRENGTH: High,Sand Worm
Cornered Beast,,,"PASSIVE: While HP is low, raises evasion chance / critical chance / accuracy.",Behemonster
Counter,,,PASSIVE: Allows non-ranged attacks to sometimes be countered.,"Ifrit, Gleefrit, Babyhemoth, Mimic, Mimic Queen, Mimic Jackpot, Ifrit*"
Counterstance,3,,SELF: Enter counterstance and retaliate against non-ranged attacks.,"Iron Muscles, Master Tonberry"
Courage Under Fire,,,PASSIVE: Raises physical damage as HP gets lower.,Magna Roader (Yellow)
Cover,,,"PASSIVE: If HP is high enough, allows one to sometimes take damage in place of an imperiled ally.","Goblin Guard, Minimantoise, Sphinx, Maduin"
Crimson Cyclone,11,Fire,ALL: Inflict magical fire damage / strength down.,"Ifreeta, Ifreeta*"
Critical AP Hike,,,PASSIVE: Restore AP upon landing a critical hit.,"Tama, Yurugu, Chocobo, White Chocobo, Elefenrir, Tonberry King"
Critical Guard,,,PASSIVE: Lessens the damage taken from critical attacks.,"Malboro, Minimantoise, Magitek Armor"
Critical+,,,PASSIVE: Slightly raises critical chance.,"Various Mirage, Mirajewel"
Critical++,,,PASSIVE: Raises critical chance.,"Various Mirage, Mirajewel"
Critical+++,,,PASSIVE: Greatly raises critical chance.,
Crusher,4,Water,SINGLE: Inflict physical water damage. TOPPLE STRENGTH: High,Bismarck
Crystalline Flare,7,Neutral,SINGLE: Inflict neutral magical damage / blindness.,Master Moogle
Cura,5,,SINGLE: Restore HP.,"Siren, Princess Goblin, Quacho Queen, Flan Princess, Quacho Queen*, Princess Goblin*"
Curaga,7,,ALL: Restore HP.,Magic Pot
Cure,3,,SINGLE: Restore HP.,"Tama, Yurugu, Chocochick, White Chocobo, Searcher"
Dance with Me!,5,,ALL: Inflict berserk.,Flan Princess
Dark,4,Dark,SINGLE: Inflict magical dark damage / blindness.,"Yurugu, Floating Eye, Elefenrir, Flan Princess, Nightsqual, Garchimacera, Nightmare, Mindflayer, Magna Roader (Purple), Odin*, Ultros*, Undead Princess*"
Dark Converter,,,PASSIVE: Restores AP upon taking dark damage.,"Undead Princess, Undead Princess*"
Dark Mysteries,7,Dark,SINGLE: Inflict magical dark damage.,Vampire Prime
Dark Resistance+,,,PASSIVE: Slightly raises dark resistance (+25).,Mirajewel
Death,8,,SINGLE: Inflict death.,"Mordskull, Mimic, Mimic Jackpot, Death Searcher"
Death Beak,3,Neutral,SINGLE: Inflict neutral physical damage / poison / death. TOPPLE STRENGTH: Medium,Cockatrice
Deep Freeze,11,Ice,SINGLE: Inflict physical ice damage / evasion down. TOPPLE STRENGTH: Medium,"Shivalry, Shivalry*"
Defense+,,,PASSIVE: Slightly raises defense.,"Various Mirage, Mirajewel"
Defense++,,,PASSIVE: Raises defense.,"Various Mirage, Mirajewel"
Defense+++,,,PASSIVE: Greatly raises defense.,
Dispelga,,,ALL: Remove positive status effects.,Bahamut*
Destroyer,2,,SELF: Gain berserk / haste.,"Omega, Omega Bane"
Diamond Dust,11,Ice,ALL: Inflict magical ice damage.,"Shiva, Shivver, Shiva*"
Dispel,2,,SINGLE: Remove positive status effects.,Holy Dragon
Dispel Counter,,,PASSIVE: Allows one to sometimes counter with Dispel.,Ultros
Doom,5,,SINGLE:Automatically KO a target when the countdown runs out.,Memecoleous
Double Attack,4,Neutral,SINGLE: Inflict neutral physical damage. Hits twice. TOPPLE STRENGTH: Medium,"Dualizard, Bihydra"
Double Cut,5,Neutral,SINGLE: Inflict neutral physical damage. Hits 4 times. TOPPLE STRENGTH: Medium,"Odin, Odin*"
Double Smash,4,Neutral,RANDOM: Inflict neutral physical damage. Hits twice. TOPPLE STRENGTH: Medium,"Copper Gnome, Golem Head, Brothertaur, Iron Muscles"
Drain,4,Dark,SINGLE: Use dark power to absorb HP.,"Kuza Kit, Ice Bat"
Draining Claw,3,Dark,SINGLE: Inflict physical dark damage and absorb HP. TOPPLE STRENGTH: Medium,Left Claw
Draintouch,,,"PASSIVE: Allows some of the damage dealt by "Attack" to be absorbed as HP.""ASSIVE: Allows some of the da",Vampire Prime
Dread Gaze,8,Neutral,SINGLE: Inflict neutral magical damage / confusion / death.,"Undead Princess, Undead Princess*"
Dread Spikes,,,PASSIVE: Allows one to sometimes counter with Drain.,Demivampire
Earth Resistance+,,,PASSIVE: Slightly raises earth resistance (+25).,Mirajewel
Earthquake,6,Earth,ALL: Inflict magical earth damage.,"Sand Worm, Elite Entom"
Eclipse Bite,8,Dark,SINGLE: Inflict physical dark damage. High critical chance. TOPPLE STRENGTH: Medium,Elefenrir
Element Absorber,,,PASSIVE: When hit sometimes absorbs elemental damage.,Skull Eater
Endless Blessings,,,PASSIVE: Slightly increases the duration of abilities that grant positive effects.,"Siren, Water Toad"
Endless Nightmare,,,PASSIVE: Slightly increases the duration of status ailments one inflicts.,"Malboro Menace, Ahriman, Buer, Mindflayer, Squidraken"
Energy Ray,10,Neutral,ALL: Inflict neutral magical damage.,"Valefor, Nirvalefor"
Enhanced Attack,,,"PASSIVE: Raises damage dealt by the "Attack" command.""ASSIVE: Raises d","Titan, Ultima Weapon, Bahamut*"
Enhanced Criticals,,,PASSIVE: Raises critical damage.,"Skull Eater, Nut Eater, Elefenrir, Baby Tonberry, Tonberry, Tonberry King, Red Bonnetberry, Mega Sharqual, Ultima Weapon, Bahamut*, Master Tonberry"
Enhanced Cure,,,PASSIVE: Improves the effectiveness of HP recovery abilities.,"Sylph, Moogle, Quacho Queen, Unicorn, Quacho Queen*"
Enhanced Earth,,,PASSIVE: Raises earth ability damage.,Titan
Enhanced Fire,,,PASSIVE: Raises fire ability damage.,"Fritt, Ifreeta, Weeglee, Nirvalefor, Bomb, Ifrit*, Ifreeta*"
Enhanced Ice,,,PASSIVE: Raises ice ability damage.,"Shivalry, Brrblizz, Quachacho, Shiva*, Shivalry*"
Enhanced Light,,,PASSIVE: Raises light ability damage.,"Paleberry, Cenchos"
Enhanced Thunder,,,PASSIVE: Raises thunder ability damage.,"Zapt, Ramewl, Joult, Ramuh*, Ramewl*"
Enhanced Water,,,PASSIVE: Raises water ability damage.,"Elasmos, Sea Snake, Leviathan, Sea Worm, Cenchos, Leviathan*, Ultros*"
Enhanced Wind,,,PASSIVE: Raises wind ability damage.,"Golem Head, Valefor, Tiamat, Wind Toad"
Entropy,,,PASSIVE: Randomly raises or lessens the topple strength of attacks.,"Malboro, Garchimacera, Brothertaur, Asterius"
Equilibrium,,,PASSIVE: Halves stability loss while HP is full.,Mini Golem
Esuna,3,,SINGLE: Remove status ailments.,"Princess Goblin, Cockatrice, Sistertaur, Princess Goblin*"
Esunaga,8,,ALL: Remove status ailments.,Cocadrille
Evade & Counter,,,PASSIVE: Raises evasion chance and allows one to potentially counter if successful.,"Werebat, Mist Dragon"
Evasion+,,,PASSIVE: Slightly raises evasion chance.,"Various Mirage, Mirajewel"
Evasion++,,,PASSIVE: Raises evasion chance.,"Various Mirage, Mirajewel"
Evasion+++,,,PASSIVE: Greatly raises evasion chance.,
Everyone's Grudge,6,Dark,ALL: Inflict magical dark damage. Power increases relative to accrued damage.,"Tonberry King, Paleberry King"
Evil Mist,8,Dark,ALL: Inflict magical dark damage / poison.,"Kraken, Cenchos"
Exp Boost,,,PASSIVE: Raises the EXP intake of battle participants.,Mirajewel
Expandable Ribbon,,,PASSIVE: Ensure the first status ailment incurred in each battle is nullified. Works on most ailments.,"Princess Goblin, Lead Gnome, Princess Goblin*"
Explode,2,Neutral,ALL: Inflict neutral magical damage. Also harms allies. Scales to HP.,King Bomb
Extra Needles,,,PASSIVE: Raises the damage of needle attacks.,"Cactrot, Gigantrot, Master Cactuar"
Extreme Bomber,,,"PASSIVE: Allows physical attacks to sometimes be countered. The lower one's HP, the stronger the blow.","Quacho Queen, Quacho Queen*"
Faith,4,,SINGLE: Raise magical damage.,"Memecoleous, Searcher"
Fira,5,Fire,SINGLE: Inflict magical fire damage.,"Buer, Affrite, Gleed, Red Dragon, King Bomb, Phoenix, Ifrit*"
Firaga,7,Fire,ALL: Inflict magical fire damage.,"Ifreeta, Einhänder"
Fire,3,Fire,SINGLE: Inflict magical fire damage.,"Red Captain, Blood Eye, Fritt, Cockatrice, Bihydra, Red Bonnetberry, Flammantoise, Bomb, Manticore, Searcher, Imp, Magna Roader (Red), Weeglee, Diabolos*"
Fire Beam,7,Fire,SINGLE: Inflict magical fire damage.,"Magitek Armor, Magitek Armor P"
Fire Breath,7,Fire,ALL: Inflict magical fire damage. Scales to HP.,Red Dragon
Fire Converter,,,PASSIVE: Restores AP upon taking fire damage.,"Affrite, Gleed, Bihydra, King Bomb, Phoenix, Ifrit*, Ifreeta*"
Fire Resistance+,,,PASSIVE: Slightly raises fire resistance (+25).,Mirajewel
First Strike,,,PASSIVE: Raises the odds of a preemptive strike.,"Mu, Red Cap, Fenrir, Mimic, Nightsqual, Searcher, Magitek Armor P, Magna Roader (Purple)"
Flames of Rebirth,9,Fire,ALL: Inflict magical fire damage and revive all allies.,Phoenix
Flaming Hell,6,Fire,ALL: Inflict magical fire damage.,XG
Flare,9,Neutral,SINGLE: Inflict neutral magical damage.,Bahamut*
Flare Star,10,Fire,ALL: Inflict magical fire damage.,Red Dragon
Flash,3,,ALL: Inflict blindness.,"Goblin Guard, Holy Dragon, Magna Roader (Red), Princess Goblin*"
Flee,,,PASSIVE: Guarantees escape as long as an enemy can be fled from.,"Black Chocochick, Cactuar, Cactrot"
Flutter,,,SUPPORT: Fly Reynn and Lann a short distance.,"Floating Eye, Blood Eye, Moogle, Glow Moogle, Master Moogle"
Focus,0,,SELF: Raise the damage dealt by one's next attack.,"Bomb, Sea Worm, Minotaur, Asterius, Iron Muscles"
Forest Nocturne,4,,RANDOM: Restore HP. Takes effect multiple times.,"Moogle, Glow Moogle, Master Moogle"
Foxfire,4,Fire,SINGLE: Inflict magical fire damage.,"Tama, Yurugu"
Frenzy Walnut,2,,SELF: Recover HP and gain regen / berserk.,Nut Eater
Full Output,8,Neutral,ALL: Inflict neutral magical damage.,"Death Machine, War Machine"
Full Power!,6,Neutral,SINGLE: Inflict neutral physical damage and raise the power of your next attack.,Ultima Weapon
Gaia's Wrath,11,Earth,ALL: Inflict magical earth damage. TOPPLE STRENGTH: Medium,Titan
Gaze,4,Neutral,SINGLE: Inflict neutral magical damage / confusion.,"Ahriman, Blood Eye, Mimic Queen, Death Searcher"
Gelatinous Body,,,"PASSIVE: Lessens physical damage taken, but raises magical damage taken.","Water Golem, Mini Flan"
Gentle Mist,5,,ALL: Restore HP and bestow regen.,Mist Dragon
Geocrush,6,Earth,SINGLE: Inflict physical earth damage. TOPPLE STRENGTH: High,Titan
Gilfinder,,,PASSIVE: Increase the amount of gil obtained in battle.,"Chocochick, Gigantuar, Magic Jar"
Gimme an elixir!,,,PASSIVE: Causes elixirs received to raise various stats.,"Magic Pot, Magic Jar"
Gnaw,3,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: Medium,White Nakk
Goblin Eye Gouge,3,Neutral,SINGLE: Inflict neutral physical damage / blindness. TOPPLE STRENGTH: Medium,Red Cap
Goblin Punch,4,Neutral,RANDOM: inflict neutral physical damage. Hits multiple times. TOPPLE STRENGTH: Low,Goblin
Grand Sword,5,Neutral,ALL: Inflict neutral physical damage. TOPPLE STRENGTH: High,Iron Giant
Gravija,20,,ALL: Eliminate 1/4 of the target's remaining HP.,"Diabolos, Diabolos*"
Gravity,10,,SINGLE: Eliminate 1/4 of the target's remaining HP.,"Death Searcher, Nightmare"
Gravity Counter,,,PASSIVE: Allows one to sometimes counter with Gravity.,"Sand Worm, Sea Worm"
Great Sandstorm,9,Earth/Wind,ALL: Inflict physical earth damage / wind damage / blindness.,"Sphinx, Memecoleous"
Guardian Glow,2,,ALL: Bestow defense up / magic defense up.,Sphinx
Gungnir,4,Neutral,ALL: Inflict neutral physical damage. TOPPLE STRENGTH: High,"Odin, Odin*"
Haste,4,,SINGLE: Speed up how often the target takes a turn.,"Black Chocochick, Diva Serafie, Red Cap, Ramewl, Wind Toad, Gilgamesh, Magna Roader (Yellow), Master Cactuar, Ramewl*"
Healing Horn,6,,ALL: Remove status ailments and restore HP.,Unicorn
Heave,4,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: Very High,Behemonster
Heavenly Wrath,7,Light,SINGLE: Inflict physical light damage. Hits 4 times. TOPPLE STRENGTH: High,Holy Dragon
Heaven's Wrath,11,Thunder,RANDOM: Inflict magical thunder damage. Hits 8 times.,"Ramewl, Ramewl*"
Heavy Counter,,,PASSIVE: Allows non-ranged attacks to sometimes be countered with a powerful blow.,Behemoth
Heavy Magic Counter,,,PASSIVE: Allows magical attacks to sometimes be countered with a powerful blow.,Kuza Beast
Hellfire,11,Fire,ALL: Inflict magical fire damage.,"Ifrit, Gleefrit, Ifrit*"
Hi-Speed OP,,,PASSIVE: Automatically restores HP if an attack lowers HP below a certain amount.,Security Eye
Holy,9,Light,SINGLE: Inflict magical light damage.,"Paleberry King, Holy Dragon"
Horn,3,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: Medium,"Babyhemoth, Kuza Kit, Brothertaur, Sistertaur, Nightmare"
Howl,4,,ALL: Bestowe evasion up / accuracy up.,White Nakk
Howling Moon,4,,SELF: Gain berserk / haste / evasion up.,Fenrir
HP+,,,PASSIVE: Slightly raises HP (+5%).,"Various Mirage, Mirajewel"
HP++,,,PASSIVE: Raises HP.,"Various Mirage, Mirajewel"
HP+++,,,PASSIVE: Greatly raises HP.,
Hydrotwister,6,Water,SINGLE: Inflict magical water damage. Bypasses defense.,"Mega Sharqual, Mega Nightsqual"
Hyper Mode,,,"PASSIVE: If HP is full, gives attacks a chance of bestowing bravery / faith.",XG
Hypnosis,4,,SINGLE: Inflict sleep.,"Floating Eye, Nightmare, Undead Princess*"
Ice Beam,7,Ice,SINGLE: Inflict magical ice damage.,"Magitek Armor, Magitek Armor A"
Ice Converter,,,PASSIVE: Restore AP upon taking ice damage.,"Mishiva, Shivverina, Shiva*, Shivalry*"
Ice Resistance+,,,PASSIVE: Slightly raises ice resistance (+25).,Mirajewel
Ice Spikes,,,PASSIVE: Allows one to sometimes counter with ice when hit.,"Shiva, Shivver, Shiva*"
Ice Storm,5,Ice,ALL: Inflict magical ice damage.,"Bablizz, Fenrir, Cerberus, Quachacho, Shiva*, Shivalry*"
Impact Claw,3,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: High,Left Claw
Incisors,5,Neutral,Inflict neutral physical damage / poison / magic defense down. TOPPLE STRENGTH: Medium,"Skull Eater, Nut Eater"
Induration,,,PASSIVE: Sometimes bestows defense up upon taking a hit.,"Copper Gnome, Quachacho"
Initial AP Hike,,,PASSIVE: Restores AP at the start of battle.,Malboro Menace
Initiative,,,PASSIVE: Sometimes bestows haste at start of battle.,Hyperion
Invincible,,,PASSIVE: Gives a chance of nullifying damage.,Iron Giant
