Skill,Ap,Element,Description,Mirages
Jet Fire,10,Wind,ALL: Inflict magical wind damage.,Tiamat
Joyride,,,SUPPORT: Serve as a mode of transportation for Reynn and Lann.,"Tamamohimé, Kyubi, Chocobo, Mecha Chocobo, Hyperion, White Chocobo, Malboro, Malboro Menace, Fenrir, Elefenrir, Behemoth, Kuza Beast, Right Claw, Flan, Sharqual, Nightsqual, Magitek Armor, Magitek Armor A, Magitek Armor P, Magna Roader (Purple), Magna Roader (Yellow), Magna Roader (Red), Omega, Omega Bane, Mecha Chocobo*"
Judgment Bolt,11,Thunder,ALL: inflict magical thunder damage.,"Ramuh, Rairamuh, Ramuh*"
KERS,0,,SELF: Recover AP and remove all status effects.,Magna Roader (Red)
Kishin,15,Dark,SINGLE: Inflict physical dark damage. TOPPLE STRENGTH: High,XG
Knife,4,Neutral,SINGLE: Inflict neutral physical damage. Bypasses defense. TOPPLE STRENGTH: Medium,"Tonberry, Paleberry"
Kuparrr!,4,Neutral,RANDOM: Inflict neutral physical damage / berserk. Hits multiple times. TOPPLE STRENGTH: Medium,Kupicaroon
Lambaste,3,Neutral,SINGLE: Inflict neutral physical damage. Hits multiple times. TOPPLE STRENGTH: Medium,Gilgamesh
Last Stand,,,"PASSIVE: Once per battle, prevents HP from dropping to 0.","Behemonster, Magic Pot, Bomb, Magna Roader (Yellow)"
Leaf Dagger,3,Wind,SINGLE: Inflict physical wind damage / poison. TOPPLE STRENGTH: Low,"Mandragora, Korrigan"
Leech,3,Dark,SINGLE: Use dark power to absorb HP.,Werebat
Left Claw,3,Neutral,SINGLE: Inflict neutral physical damage. Hits twice. TOPPLE STRENGTH: Low,Left Claw
Leg Sweep,3,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: High,Gilgamesh
Lethean Gaze,4,Neutral,SINGLE: Inflict neutral magical damage / oblivion.,Blood Eye
Lethean Punch,4,Neutral,SINGLE: Inflict neutral physical damage / oblivion. TOPPLE STRENGTH: Medium,Reaver Mu
Libra,1,,SINGLE: View useful information about the target.,"Tama, Yurugu, Mu, Moogle, Magic Pot, Searcher, Security Eye"
Light Converter,,,PASSIVE: Restores AP upon taking light damage.,Paleberry King
Light Resistance+,,,PASSIVE: Slightly raises light resistance (+25).,Mirajewel
Love Serenade,7,,RANDOM: Bestow defense up / magic defense up. Takes effect multiple times.,Glow Moogle
Lullaby,7,,ALL: Inflict sleep.,"Siren, Wind Toad"
Lure,,,PASSIVE: Increase enemy encounters.,Mirajewel
Mage Masher,3,Fire,SINGLE: Inflict physical fire damage / magic down. TOPPLE STRENGTH: Low,Ghidra
Magic Counter,,,PASSIVE: Allows magical attacks to sometimes be countered.,"Kuza Kit, Iron Muscles"
Magic Defense+,,,PASSIVE: Slightly raises magic defense.,"Various Mirage, Mirajewel"
Magic Defense++,,,PASSIVE: Raises magic defense.,"Various Mirage, Mirajewel"
Magic Defense+++,,,PASSIVE: Greatly raises magic defense.,
Magic+,,,PASSIVE: Slightly raises magic.,"Various Mirage, Mirajewel"
Magic++,,,PASSIVE: Raises magic.,"Various Mirage, Mirajewel"
Magic+++,,,PASSIVE: Greatly raises magic.,
Magitek Cicuitry,,,PASSIVE: Raises magical damage.,"Magitek Armor, Magitek Armor P"
Mana's Paean,4,,ALL: Bestow magic up.,Wind Toad
Megaflare,4,Neutral,ALL: Inflict neutral magical damage. Power increases as the wielder's HP/AP decrease.,Bahamut*
Meltdown,,,"PASSIVE: When hit while HP is 10% or less, causes one to self-destruct and harm allies.","Omega, Omega Bane"
Metal Cutter,3,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: High,Magitek Armor A
Metal Salvo,4,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: High,"Mecha Chocobo, Mecha Chocobo*"
Metallic Body,,,PASSIVE: Lessens all damage taken.,"Metalliskull, Iron Muscles, Entom Guard, Entom Soldier, Elite Entom"
Meteor,11,Neutral,RANDOM: Inflict neutral physical damage. Hits 4 times.,Mirajewel
Meteor Counterstance,6,,SELF: Enter counterstance and use Meteor at AP cost to retaliate against attacks.,Behemonster
Mightiest of Sword,4,,SINGLE: ATtack with the mightiest of swords.,Gilgamesh
Mighty Guard,2,,SELF: Gain protect / shell.,Iron Giant
Mind Blast,4,Neutral,SINGLE: Inflict neutral magical damage / confusion / oblivion.,"Mindflayer, Squidraken"
Mind Madrigal,5,,ALL: Bestow magic defense up.,Water Toad
Miraculous Drill,6,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: High,Mimic Queen
Missile,4,Neutral,SINGLE: Inflict neutral magical damage.,"Omega, Omega Bane"
Moon Flute,4,,ALL: Inflict berserk.,Garchimacera
Needle Thrift,,,PASSIVE: Reduce AP cost of all needle attacks by 1.,"Cactuar, Gigantuar"
Nightmare,4,,ALL: Inflict sleep.,"Diabolos, Diabolos*"
Nightmaretouch,,,"PASSIVE: Causes the "Attack" command to inflict sleep.""ASSIVE: Causes the "Attack" comma""SSIVE: Causes","Diabolos, Diabolos*"
Nightmarish Lore,,,PASSIVE: Raises damage when attacking a sleeping target.,"Diabolos, Nightmare, Diabolos*"
No Escape,,,PASSIVE: Completly prevents enemies from escaping.,"Right Claw, Mimic, Mimic Jackpot, Vampire Prime, Magitek Armor P"
Octentacle,8,Neutral,RANDOM: Inflict neutral physical damage. Hits 8 times. TOPPLE STRENGTH: Medium,"Ultros, Ultros*"
Ode of Oblivion,4,,ALL: Inflict oblivion.,Water Toad
Overclock,,,"PASSIVE: While berserk, bestows agility up but causes HP to drain.","Mecha Chocobo, Omega Bane, Mecha Chocobo*"
Overheat,,,"PASSIVE: Upon taking fire damage, somtimes bestows berserk.","Entom Guard, Entom Soldier, Elite Entom"
Pattern Analysis,,,"PASSIVE: When hit, sometimes bestows evasion up on all allies.","Searcher, Einhänder"
Perfect Dodge,3,,SELF: Enter counterstance and evade physical attacks.,Master Cactuar
Petty Grudge,3,Dark,SINGLE: Inflict magical dark damage. Power increases relative to accrued damage.,"Baby Tonberry, Baby Paleberry, Red Bonnetberry"
Pharmacology,,,PASSIVE: Improves the effectiveness of HP recovery items.,"Serafie, Red Captain, Kupirate, Tonberry, Red Bonnetberry, Memecoleous, Imp, Master Tonberry"
Phaeosynthesis,,,PASSIVE: Raises the amount of AP restored each turn.,Korrigan
Photosynthesis,,,PASSIVE: Somtimes bestows regen at start of battle.,"Mandragora, Gigantuar, Gigantrot"
Point Deflector,,,PASSIVE: Completly nullifies damage up to three times.,Omega God
Poison Bite,4,Neutral,SINGLE: Inflict neutral physical damage / poison. TOPPLE STRENGTH: Medium,"Kyubi, Dualizard, Bihydra"
Poison Counter,,,"PASSIVE: When hit, sometimes inflicts poison on the assailant.",Adamantoise
Poison Nails,3,Neutral,SINGLE: Inflict neutral physical damage / poison. TOPPLE STRENGTH: Medium,"Right Claw, Imp, Diabolos*"
Poisontouch,,,"PASSIVE: Gives the "Attack" command a chance of inflicting poison.""ASSIVE: Gives the "Attack" command a chance of""SSIVE: Gives the "Attack" c""SIVE: Giv","Mandragora, Lead Gnome, White Nakk"
Possesion Rush,8,Neutral,SINGLE: Inflict neutral physical damage / confusion. TOPPLE STRENGTH: High,"Undead Princess, Undead Princess*"
Pressure,4,Earth,ALL: Inflict physical earth damage. TOPPLE STRENGTH: Medium,Adamantoise
Princess's Charm,7,Neutral,SINGLE: Inflict neutral physical damage / blindness. TOPPLE STRENGTH: Medium,"Princess Goblin, Princess Goblin*"
Protect,2,,SINGLE: Lessen physical damage taken.,"Goblin Guard, Copper Gnome, Chrome Giant, Mimic, Mimic Jackpot, Minimantoise, Minotaur, Gilgamesh, Princess Goblin*"
Pulverizing Blow,6,Neutral,SINGLE: Inflict neutral physical damage / doom. TOPPLE STRENGTH: Medium,"Entom Soldier, Elite Entom"
Punch,3,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: Medium,"Mu, Fritt, Weeglee, Vampire, Demivampire, Ifrit*, Ifreeta*"
Putrid Breath,11,,SINGLE: Inflict various status ailments / negative status effects.,Malboro Menace
Quake,10,Earth,ALL: Inflict magical earth damage. TOPPLE STRENGTH: Medium,Mordskull
Quicksand,4,Earth,SINGLE: Inflict magical earth damage / slow.,"Mordskull, Sand Worm"
Rage Bomber,,,"PASSIVE: Allows physical attacks to sometimes be countered. The lower one's HP, the stronger the blow.","Quacho, Miney, Mo"
Raigeki,4,Thunder,SINGLE: Inflict physical damage. TOPPLE STRENGTH: Medium,XG
Raise,4,,ALL: Revive KO'd allies and restore a little HP.,"Tamamohimé, Chocobo, White Chocobo, Princess Goblin, Phoenix, Princess Goblin*"
Rake,3,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: Medium,Ahriman
Ram,3,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: Medium,"Chocochick, Black Chocochick, Korrigan"
Random Shock,4,Thunder,RANDOM: Inflict magical thunder damage. Hits multiple times.,"Metalliskull, Entom Soldier, Elite Entom, Einhänder"
Reaper,4,Water,ALL: Inflict physical water damage. TOPPLE STRENGTH: Medium,"Leviathan, Leviathan*"
Reaper Lore,,,PASSIVE: Restores a little HP whenever someone is KO'd.,"Undead Princess, Death Searcher, Undead Princess*"
Rebound,,,"PASSIVE: Once per battle, prevents a stack from toppling.",Magitek Armor P
Recycle,,,PASSIVE: Sometimes prevents items from being consumed on use.,Magna Roader (Red)
Red Fang,4,Fire,SINGLE: Inflict physical fire damage. TOPPLE STRENGTH: Medium,"Black Nakk, Red Dragon"
Reflect,4,,SINGLE: Cause a target to reflect magic back at casters.,"Diva Serafie, Buer, Left Claw, Magic Jar, Kraken, Cenchos, Entom Guard, Ultros*"
Refueling,3,,SELF: Gain haste.,Bombino
Regen,4,,SINGLE: Gradually restore HP.,"Tamamohimé, Mu, Zaphr, Voultr, Unicorn, Ramuh*, Odin*, Ramewl*"
Renew,3,,SINGLE: Remove status ailments.,Sylph
Resist Accuracy Down,,,PASSIVE: protect against accuracy down.,Mirajewel
Resist Berserk,,,PASSIVE: Protect against berserk.,Mirajewel
Resist Blindness,,,PASSIVE: Protect against blindness.,Mirajewel
Resist Confusion,,,PASSIVE: Protect against confusion.,Mirajewel
Resist Defense Down,,,PASSIVE: protect against defense down.,Mirajewel
Resist Evasion Down,,,PASSIVE: protect against evasion down.,Mirajewel
Resist Magic Defense Down,,,PASSIVE: protect against magic defense down.,Mirajewel
Resist Magic Down,,,PASSIVE: protect against magic down.,Mirajewel
Resist Oblivion,,,PASSIVE: Protect against oblivion.,Mirajewel
Resist Poison,,,PASSIVE: Protect against poison.,Mirajewel
Resist Sleep,,,PASSIVE: Protect against sleep.,Mirajewel
Resist Slow,,,PASSIVE: Protect against slow.,Mirajewel
Resist Strength Down,,,PASSIVE: protect against strength down.,Mirajewel
Resist Stun,,,PASSIVE: Protects against stun.,"Mirajewel, Water Golem, Flan"
Restore,3,,SINGLE: Restore HP.,"Red Captain, Water Golem"
Retaliatory Missile,,,PASSIVE: Allows one to counter uo to two attacks with missiles.,"Death Machine, War Machine"
Reteethe,,,PASSIVE: Bestows strength up upon landing a critical hit.,"Mega Sharqual, Mega Nightsqual"
Revenge Blast,4,Neutral,SINGLE: Inflict neutral physical damage. Power increases as the wielder's HP decreases. TOPPLE STRENGTH: Low,Babyhemoth
Revivify,,,PASSIVE: Gradually restores HP.,"Mordskull, Vampire Prime, Undead Princess*"
Riddle,7,,SINGLE: Inflict confusion / doom.,Sphinx
Right Claw,3,Neutral,SINGLE: Inflict neutral physical damage. Hits twice. TOPPLE STRENGTH: Low,Right Claw
Riot Blow,6,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: Medium,Maduin
Ruby Light,8,,ALL: Bestow reflect.,Carbuncle
Safety Bit,,,PASSIVE: Raises resistance to death while HP is low.,"Cockatrice, Cocadrille, Phoenix"
Sandstorm,6,Earth/Wind,ALL: Inflict physical earth damage / wind damage / blindness.,"Sandicore, Sand Worm"
Scream,3,,ALL: Inflict magic defense down.,Korrigan
Self-Destruct,1,Neutral,SINGLE: Inflict neutral magical damage. Also harms the wielder. Scales to HP.,Bomb
Shake,3,Earth,SINGLE: Inflict magical earth damage. TOPPLE STRENGTH: HIgh,Mini Golem
Sharksin,,,PASSIVE: Redirects a portion of close-quarters damage back at the assailant.,Bismarck
Sharpened Knife,7,Neutral,SINGLE: Inflict neutral physical damage / defense down. Bypasses defense. TOPPLE STRENGTH: Medium,Master Tonberry
Shell,2,,SINGLE: Lessen magical damage taken.,"Chocochick, Carbuncle, Goblin, Mythril Giant, Water Golem, Zapt, Joult, Kupicaroon, Minimantoise, Asterius, Gilgamesh, Ramuh*"
Shining Ruby,4,,ALL: Bestow defense up / magic defense up.,Carbuncle
Shock Spikes,,,PASSIVE: Allows one to sometimes counter with thunder when hit.,"Ramuh, Rairamuh, Metalliskull, Spark Dragon, Ramuh*"
Shocking Breath,7,Thunder,ALL: Inflict magical thunder damage. Scales to HP.,Spark Dragon
Silent Voice,9,Wind,ALL: Inflict magical wind damage / oblivion.,"Siren, Diva Serafie"
Sizzle,,,SUPPORT: Burn obstacles or light fuses.,"Red Captain, Fritt, Weeglee, Black Nakk, Cockatrice, Bomb"
Slash,3,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: Medium,"Goblin Guard, Red Captain, Metalliskull"
Sled Fang,6,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: Medium,Fenrir
Sleep,4,,SINGLE: Inflict sleep.,"Golem Head, Shiva, Shivver, Vampire Prime, Squidraken, Shiva*"
Sleep Chance+,,,PASSIVE: Paises the chance of inflicting sleep.,Nightmare
Sleep Leaves,4,Wind,SINGLE: Inflict physical wind damage / sleep. TOPPLE STRENGTH: Low,Mandragora
Sling,8,Neutral,ALL: Inflict neutral physical damage. TOPPLE STRENGTH: Medium,"Mythril Giant, Chrome Giant"
Slow,3,,SINGLE: Slow down how often the target takes a turn.,"Mishiva, Undead Princess, Shiva*, Shivalry*, Undead Princess*"
Smash,,,SUPPORT: Remove obstacles through brute strength.,"Mythril Giant, Chrome Giant, Red Dragon, Holy Dragon, Minotaur, Asterius"
Snowman Rondo,4,Ice,RANDOM: Inflicts magical ice damage. Hits multiple times.,Kupirate
Sonic Fangs,4,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: High,Cerberus
Sonic Wings,4,Wind,SINGLE: Inflict magical wind damage / slow.,"Valefor, Nirvalefor"
SOS Conserve AP,,,"PASSIVE: In battle, reduces all AP costs by 1 while HP is low.",Sand Worm
SOS Haste,,,PASSIVE: Bestow haste while HP is low (Critical HP).,Hyperion
SOS Magic Boost,,,PASSIVE: Raises magical damage while HP is low.,Buer
SOS Regen,,,PASSIVE: Bestows regen while HP is low.,"Bombino, Phoenix"
SOS Ribbon,,,"PASSIVE: While HP is low, provides guaranteed resistance to most status ailments.","Glow Moogle, Magic Jar"
Spinning Fin,3,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: Medium,Sea Snake
Stabilizer,,,PASSIVE: Sometimes halves stability loss.,"Reaver Mu, Mythril Giant, Behemoth, Kuza Beast, Sphinx, Memecoleous, Magitek Armor A, Titan"
Stack Buster,4,Neutral,SINGLE: Inflict neutral physical damage. Highly effective against stacked enemies. TOPPLE STRENGTH: Medium,"Brothertaur, Sistertaur"
Stealth,,,PASSIVE: Decreases enemy encounters.,Mirajewel
Sticky Goo,3,Water,SINGLE: Inflict water damage / slow.,Mini Flan
Strategic AP Hike,,,PASSIVE: Restores AP upon exploiting an enemy's elemental weakness.,"Valefor, Nirvalefor, Baby Paleberry, Master Moogle"
Strength+,,,PASSIVE: Slightly raises strength.,"Various Mirage, Mirajewel"
Strength++,,,PASSIVE: Raises strength.,"Various Mirage, Mirajewel"
Strength+++,,,PASSIVE: Greatly raises strength.,
Stretch Legs,4,,SELF: Gain haste / evasion up.,Hyperion
Stroll,,,SUPPORT: Walk alongside Reynn and Lann in the field.,"Tama, Yurugu, Chocochick, Black Chocochick, Mu, Reaver Mu, Mandragora, Korrigan, Fritt, Weeglee, Bablizz, Brrblizz, Zapt, Joult, White Nakk, Black Nakk, Moogle, Glow Moogle, Cactuar, Cactrot, Quacho, Quachacho, Baby Tonberry, Baby Paleberry, Red Bonnetberry, Bombino, Water Toad, Lucky Toad, Wind Toad, Searcher, Security Eye, Death Searcher, Master Moogle, Master Cactuar, Miney, Mo"
Subdue,0,Neutral,"SINGLE: Inflict nonlethal, neutral physical damage.","Black Chocochick, Sylph, Mu, Reaver Mu, Red Cap, Water Golem, Kupicaroon, Right Claw, Quachacho, Lucky Toad, Wind Toad"
Sweet Breath,5,,ALL: Inflict sleep.,"Quacho Queen, Quacho Queen*"
Swordbreaker,3,Fire,SINGLE: Inflict physical fire damage / strength down. TOPPLE STRENGTH: Low,Ghidra
Sync Left Claw,,,PASSIVE: Raises the damage dealt by it's counterpart's Left Claw ability while fighting together.,Right Claw
Sync Right Claw,,,PASSIVE: Raises the damage dealt by it's counterpart's Right Claw ability while fighting together.,Left Claw
Syphon,0,Dark,Use dark power to absorb AP.,"Ramuh, Magic Jar, Demivampire, Undead Princess*"
Temblor,7,Earth,ALL: Inflict magical earth damage.,Adamantoise
Tentacle,3,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: Medium,"Malboro, Malboro Menace"
Third Eye,,,"PASSIVE: While blind, raises evasion chance / critical chance.",Ice Bat
Thousands of Meedles,10,Neutral,RANDOM: Inflict a fixed amount of neutral physical damage. Hits multiple times.,Gigantrot
Thousands of Needles,10,Neutral,ALL: Inflict a fixed amount of neutral physical damage.,Gigantuar
Throw Stone,3,Earth,SINGLE: Inflict physical earth damage. TOPPLE STRENGTH: Medium,"Copper Gnome, Lead Gnome, Mini Golem, Mordskull, Titan"
Thundaga,7,Thunder,ALL: Inflict magical thunder damage.,"Ramewl, Ramewl*"
Thundara,5,Thunder,SINGLE: Inflict magical thunder damage.,"Zaphr, Voultr, Kuza Beast, Spark Dragon, Ramuh*"
Thunder,3,Thunder,SINGLE: Inflict magical thunder damage.,"Zapt, Joult, Kuza Kit, Metalliskull, Trihyde, Flan, Death Searcher"
Thunder Beam,7,Thunder,SINGLE: Inflict magical thunder damage.,"Magitek Armor A, Magitek Armor P"
Thunder Converter,,,PASSIVE: Restore AP upon taking thunder damage.,"Zaphr, Voultr, Spark Dragon, Ramuh*, Ramewl*"
Thunder Horn,4,Thunder,SINGLE: Inflict physical thunder damage. TOPPLE STRENGTH: High,Kuza Beast
Thunder Resistance+,,,PASSIVE: Slightly raises thunder resistance (+25).,Mirajewel
Thunderbolt,5,Thunder,ALL: Inflict magical thunder damage.,"Zapt, Cerberus, Tiamat, Mimic Queen, Gilgamesh, Ultros, Ramuh*, Ramewl*, Ultros*"
Thunderstorm,9,Thunder/Wind,ALL: Inflict magical thunder damage / wind damage.,Elasmos
Tickle,3,Neutral,SINGLE: Inflict neutral magical damage. TOPPLE STRENGTH: High,"Sylph, Serafie, Manticore, Sandicore, Garchimacera"
Tidal Wave,12,Water,ALL: Inflict magical water damage.,"Leviathan, Leviathan*"
Top Gear,,,PASSIVE: Bestow strength up as a bonus if one reaches the third tier of evasion up.,Magna Roader (Purple)
Touchdown,5,Neutral,ALL: Inflict neutrale physical damage. TOPPLE STRENGTH: High,Bahamut*
Track,6,,ALL: Inflict accuracy down.,Buer
Treasure Hunter,,,PASSIVE: Raises the chance that enemies will drop rare items.,"Left Claw, Gigantrot, Mimic Jackpot, Lucky Toad, Death Searcher"
Triple Attack,6,Neutral,SINGLE: Inflict neutral physical damage. Hits 3 times. TOPPLE STRENGTH: High,"Trihyde, Ghidra"
Triumphant Shout,4,,ALL: Bestow strength up.,"Red Captain, Kupirate"
Tsunami,5,Water,ALL: Inflict magical water damage.,"Sea Serpent, Sea Worm, Kraken, Ultros, Cenchos, Leviathan*, Ultros*"
Ullr's Shield,,,PASSIVE: Gives a chance of nullifying damage.,"Odin, Odin*"
Ultima,12,Neutral,ALL: Inflict neutral magical damage.,Ultima Weapon
Ultima Beam,15,Neutral,ALL: Inflict neutral magical damage.,Ultima Weapon
Ultimate Focus,2,,SELF: Gain magic up (3 stacks).,"Floating Eye, Maduin"
Ultimate Terror,6,,ALL: Inflict strength down / magic down / defense down / magic defense down.,"Diabolos, Diabolos*"
Ultrasonics,2,,ALL: Inflict evasion down.,"Werebat, Ice Bat"
Unstacked Evasion+,,,PASSIVE: Raises evasion chance while unstacked.,"Cactuar, Cactrot, Werebat, Ice Bat"
Unstacked Guard,,,PASSIVE: Lessens the damage taken while unstacked.,Chrome Giant
Unstacked Haste,,,PASSIVE: Bestow haste while unstacked.,Black Chocochick
Upgrade,5,,SELF: Gain defense up / magic defense up / evasion up.,Security Eye
Upshift,3,,SELF: Gain haste / evasion up but incur defense down.,"Magna Roader (Purple), Magna Roader (Yellow), Magna Roader (Red)"
Venom Needle,4,Neutral,SINGLE: Inflict neutral physical damage / poison. TOPPLE STRENGTH: Low,"Manticore, Sandicore"
Victory Charge,,,"PASSIVE: Upon winning a battle, restore a little HP to all allies.","Red Captain, Mythril Giant, Glow Moogle, Sistertaur"
Vigilance,,,PASSIVE: Prevents enemy ambushes.,"Black Nakk, Magic Pot, Security Eye, Magna Roader (Red)"
Water,3,Water,SINGLE: Inflict magical water damage.,"Water Golem, Kupicaroon, Dualizard, Quacho, Baby Tonberry, Mini Flan, Sharqual, Nightsqual, Sea Snake, Water Toad, Mindflayer, Squidraken, Miney, Mo, Ultros*"
Water Converter,,,PASSIVE: Restores AP upon taking water damage.,"Dualizard, Sea Serpent, Kraken"
Water Harmony,4,Water,RANDOM: Inflict magical water damage. Hits multiple times.,Kupirate
Water Resistance+,,,PASSIVE: Slightly raises water resistance (+25).,Mirajewel
Watera,5,Water,SINGLE: Inflict magical water damage.,"Water Golem, Quacho, Tonberry King, Red Bonnetberry, Mega Sharqual, Mega Nightsqual, Sea Serpent, Kraken, Cenchos, Leviathan*, Master Tonberry, Quacho Queen*, Miney, Mo, Ultros*"
Waterga,7,Water,ALL: Inflict magical water damage.,"Quacho Queen, Elasmos, Sea Worm, Quacho Queen*"
Waterspout,4,Water,SINGLE: Inflict magical water damage. Bypasses defense.,"Sharqual, Nightsqual"
Wave Cannon,10,Neutral,ALL: Inflict neutral magical damage.,"Omega, Omega Bane"
Wheel,4,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: Medium,"Magna Roader (Purple), Magna Roader (Yellow), Magna Roader (Red)"
Whirlpool,5,Water,SINGLE: Inflict magical water damage / slow.,"Mega Nightsqual, Sea Worm"
Whirlwind,5,Wind,ALL: Inflict magical wind damage.,"Valefor, Entom Guard"
Whisperwind,4,Wind,SINGLE: Inflict magical wind damage and restore an equal amount of HP.,Sylph
Wild Horn,4,Neutral,SINGLE: Inflict neutral physical damage. TOPPLE STRENGTH: High,Behemoth
Wind Converter,,,PASSIVE: Restores AP upon taking wind damage.,Trihyde
Wind Resistance+,,,PASSIVE: Slightly raises wind resistance (+25).,Mirajewel
Wind Rhapsody,4,Wind,RANDOM: Inflict magical wind damage. Hits multiple times.,"Moogle, Master Moogle"
Wind Slash,3,Wind,ALL: Inflict wind damage.,Gilgamesh
Yawn,4,,ALL: Inflict sleep.,Quachacho
Zantetsuken,4,,ALL: Inflict death. Odds increase as the wielder's HP and AP decrease.,"Odin, Odin*"
Zap,,,SUPPORT: Activate machinery by charging it whit electricity.,"Zapt, Joult, Searcher, Security Eye, Death Searcher, Entom Guard"
